# ICS Core 100 Hz CSV | Run: ICS_SIM_20260401_120000
# Generated: 2026-04-10T18:23:51.129714Z
# Temp compensation: LM95172 reference, per-component polynomial models
# vib_*_raw_g: T-compensated, NO kinematic correction applied
# vib_*_corr_g: T-compensated + Euler + Coriolis + R-matrix
elapsed_time_s,vib_x_raw_g,vib_y_raw_g,vib_z_raw_g,vib_x_corr_g,vib_y_corr_g,vib_z_corr_g,vib_magnitude_corr_g,vib_x_rms_g,vib_y_rms_g,vib_z_rms_g,rpm,omega_z_dps,rpm_source,drill_condition,condition_severity
0.0,-1.020707,-0.81613,-0.420389,-1.020707,-0.81613,-0.420389,1.372821,1.020707,0.81613,0.420389,0.1,0.6006,adxrs645,NORMAL,0.4968
0.01,0.999245,1.198597,-0.292919,0.999245,1.197692,-0.292919,1.58706,1.010033,1.024826,0.362304,0.104,-0.6224,adxrs645,NORMAL,0.4968
0.02,-0.251309,-0.705512,0.089198,-0.251309,-0.707725,0.089198,0.756299,0.837355,0.931202,0.300269,0.303,1.8178,adxrs645,NORMAL,0.4968
0.03,0.202547,0.806578,0.79854,0.202547,0.8056,0.79854,1.152251,0.732208,0.901443,0.476485,0.303,1.8159,adxrs645,NORMAL,0.4968
0.04,-2.302445,-0.152567,1.384296,-2.302445,-0.153905,1.384296,2.690951,1.220309,0.809208,0.751589,0.302,1.814,adxrs645,NORMAL,0.4968
0.05,-0.438184,1.139421,-0.3065,-0.438184,1.137923,-0.3065,1.257305,1.128256,0.872636,0.69742,0.506,3.0331,adxrs645,NORMAL,0.4968
0.06,0.174954,-1.137087,-1.099438,0.174954,-1.13684,-1.099438,1.591156,1.046653,0.915061,0.767848,0.505,3.0312,adxrs645,NORMAL,0.4968
0.07,0.725628,0.881984,0.026434,0.725628,0.882096,0.026434,1.14251,1.012109,0.911006,0.718317,0.301,1.8083,adxrs645,NORMAL,0.4968
0.08,-1.227774,0.043813,1.257491,-1.227774,0.042051,1.257491,1.757976,1.038286,0.859019,0.796458,0.505,3.0274,adxrs645,NORMAL,0.4968
0.09,1.743248,-0.316777,-1.660231,1.743248,-0.318463,-1.660231,2.428312,1.128772,0.821136,0.92008,0.708,4.2465,adxrs645,NORMAL,0.4968
0.1,0.84056,-0.276028,0.943261,0.84056,-0.277679,0.943261,1.293595,1.105679,0.787386,0.922212,0.707,4.2446,adxrs645,NORMAL,0.4968
0.11,0.281142,-0.883664,0.058259,0.281142,-0.885301,0.058259,0.930695,1.061714,0.796006,0.883111,0.911,5.4637,adxrs645,NORMAL,0.4968
0.12,1.308685,-0.149193,-1.035079,1.308685,-0.151731,-1.035079,1.67543,1.082714,0.765935,0.895717,0.91,5.4618,adxrs645,NORMAL,0.4968
0.13,-1.589089,-0.772381,-0.410251,-1.589089,-0.772595,-0.410251,1.81395,1.126458,0.766412,0.87007,1.317,7.9019,adxrs645,NORMAL,0.4968
0.14,0.820241,-1.12118,1.554211,0.820241,-1.120365,1.554211,2.084127,1.108678,0.794928,0.931446,0.706,4.2369,adxrs645,NORMAL,0.4968
0.15,-1.337568,2.332211,1.726055,-1.337568,2.33076,1.726055,3.193868,1.124349,0.965372,0.999786,1.113,6.6771,adxrs645,NORMAL,0.4968
0.16,0.141212,-1.648231,-0.055442,0.141212,-1.649779,-0.055442,1.656739,1.091317,1.018443,0.970028,1.113,6.6752,adxrs645,NORMAL,0.4968
0.17,-0.386973,-1.274722,0.291109,-0.386973,-1.275405,0.291109,1.36424,1.064484,1.034395,0.945192,1.316,7.8943,adxrs645,NORMAL,0.4968
0.18,-0.823937,-0.715161,-0.203751,-0.823937,-0.716368,-0.203751,1.110662,1.053194,1.020132,0.921169,1.112,6.6713,adxrs645,NORMAL,0.4968
0.19,-0.575123,2.07893,-0.535914,-0.575123,2.07749,-0.535914,2.221246,1.034551,1.097467,0.905806,1.519,9.1115,adxrs645,NORMAL,0.4968
0.2,0.441052,0.145579,0.352887,0.441052,0.144944,0.352887,0.583151,1.014195,1.071485,0.887324,1.315,7.8886,adxrs645,NORMAL,0.4968
0.21,0.429261,0.881717,0.266553,0.429261,0.881438,0.266553,1.015996,0.995095,1.063583,0.868784,1.518,9.1077,adxrs645,NORMAL,0.4968
0.22,0.22499,0.058502,-0.138476,0.22499,0.057473,-0.138476,0.270369,0.974352,1.040274,0.850177,1.314,7.8847,adxrs645,NORMAL,0.4968
