# ICS Core 1 Hz CSV | Run: ICS_SIM_20260401_120000
# Generated: 2026-04-10T18:23:51.272937Z
# Temp compensation: LM95172 reference, ADXL206HDZ polynomial correction
# inclination_valid=0: tool rotating, inclination suppressed
elapsed_time_s,inclination_deg,toolface_deg,inclination_valid,inclination_source,temp_internal_c,temp_external_c,thermal_status,rpm_1hz,depth_m
0,15.0819,47.118,1,static_accel,25.1242,30.0819,NORMAL,3.713,0.005
1,15.0147,47.1101,1,static_accel,27.4928,32.6351,NORMAL,11.219,0.01
2,14.9939,47.5536,0,suppressed,30.1611,35.282,NORMAL,18.721,0.015
3,15.0117,47.543,0,suppressed,32.7975,37.8793,NORMAL,26.206,0.02
4,14.9993,47.6669,0,suppressed,34.7225,39.8186,NORMAL,33.716,0.025
5,15.0388,47.962,0,suppressed,37.0349,41.9664,NORMAL,41.245,0.03
6,14.937,48.3506,0,suppressed,39.7499,44.6351,NORMAL,48.718,0.035
7,15.0111,47.5196,0,suppressed,41.7588,46.6911,NORMAL,56.189,0.04
8,14.9646,47.9716,0,suppressed,43.6129,48.6409,NORMAL,63.724,0.045
9,15.0294,48.0515,0,suppressed,45.9816,50.9491,NORMAL,71.238,0.05
10,14.9947,48.0461,0,suppressed,47.7993,52.8563,NORMAL,78.709,0.055
11,14.9343,48.0808,0,suppressed,49.8225,54.8333,NORMAL,86.186,0.06
12,15.0707,47.9765,0,suppressed,51.9787,56.8448,NORMAL,93.724,0.065
13,15.0293,47.9393,0,suppressed,53.3757,58.4998,NORMAL,101.215,0.07
14,15.0508,48.3581,0,suppressed,55.316,60.2649,NORMAL,108.713,0.075
15,15.0657,48.327,0,suppressed,57.4583,62.537,NORMAL,116.212,0.08
16,15.004,48.335,0,suppressed,59.1566,64.0719,NORMAL,123.703,0.085
17,14.8698,48.4,0,suppressed,61.2595,66.1714,NORMAL,131.22,0.09
18,15.0123,48.1856,0,suppressed,62.6862,67.5933,NORMAL,138.701,0.095
19,15.0208,48.4045,0,suppressed,64.2543,69.1111,NORMAL,146.206,0.1
20,14.9986,48.646,0,suppressed,66.6307,71.4899,NORMAL,150.28,0.105
21,14.9468,48.4427,0,suppressed,67.8283,72.8664,NORMAL,150.109,0.11
22,15.0293,48.3194,0,suppressed,69.4865,74.3938,NORMAL,150.129,0.115
23,15.1553,49.0439,0,suppressed,70.6635,75.6981,NORMAL,149.794,0.12
24,15.0339,49.1484,0,suppressed,72.3996,77.4098,NORMAL,149.866,0.125
25,14.9482,49.1405,0,suppressed,74.0461,79.1341,NORMAL,149.849,0.13
26,15.1462,49.0611,0,suppressed,75.1807,80.0788,NORMAL,150.088,0.135
27,15.0913,49.0058,0,suppressed,76.9806,82.0867,NORMAL,150.768,0.14
28,15.0537,49.2258,0,suppressed,78.1236,83.033,NORMAL,150.155,0.145
29,15.1035,48.866,0,suppressed,79.5574,84.2831,NORMAL,150.415,0.15
30,15.0401,49.1986,0,suppressed,80.8066,85.8256,NORMAL,150.119,0.155
31,15.062,49.0615,0,suppressed,82.7177,87.6302,NORMAL,150.132,0.16
32,14.9107,49.4612,0,suppressed,83.5203,88.6703,NORMAL,150.147,0.165
33,15.0551,49.2978,0,suppressed,84.5005,89.5306,NORMAL,150.568,0.17
34,14.9494,49.8024,0,suppressed,86.1844,91.1759,NORMAL,149.755,0.175
35,15.0376,49.879,0,suppressed,86.8608,91.881,NORMAL,150.571,0.18
36,15.0142,49.2967,0,suppressed,88.3794,93.3296,NORMAL,149.866,0.185
37,15.0756,49.4979,0,suppressed,88.9729,94.1413,NORMAL,150.006,0.19
38,15.0713,49.7636,0,suppressed,90.2414,95.1866,NORMAL,149.991,0.195
39,14.9972,49.6536,0,suppressed,91.7089,96.7553,NORMAL,149.815,0.2
40,15.0012,49.9265,0,suppressed,92.9067,97.8248,NORMAL,150.191,0.205
41,15.0406,49.7377,0,suppressed,93.804,98.8041,NORMAL,150.189,0.21
42,14.9764,49.9279,0,suppressed,94.7484,99.6247,NORMAL,149.751,0.215
43,14.9785,49.9718,0,suppressed,95.6959,100.7188,NORMAL,150.137,0.22
44,14.8774,49.5105,0,suppressed,96.3736,101.3801,NORMAL,150.08,0.225
45,14.9891,49.8469,0,suppressed,97.5139,102.5688,NORMAL,150.356,0.23
46,14.9512,49.8813,0,suppressed,98.5085,103.5553,NORMAL,150.064,0.235
47,15.0694,50.2005,0,suppressed,99.7972,104.8002,NORMAL,149.849,0.24
48,15.0295,50.2279,0,suppressed,100.5082,105.7122,NORMAL,149.813,0.245
49,15.0152,50.2807,0,suppressed,100.8514,105.8495,NORMAL,149.953,0.25
50,15.0106,50.354,0,suppressed,102.2238,107.2277,NORMAL,149.66,0.255
51,14.8753,50.4488,0,suppressed,102.8785,107.87,NORMAL,150.388,0.26
52,14.9021,50.0593,0,suppressed,103.6193,108.6395,NORMAL,150.025,0.265
53,14.8849,50.41,0,suppressed,104.7373,109.7086,NORMAL,149.96,0.27
54,14.9411,50.3973,0,suppressed,105.6204,110.5836,NORMAL,150.349,0.275
55,14.9922,50.4075,0,suppressed,106.3567,111.4319,NORMAL,150.37,0.28
56,14.9134,50.1886,0,suppressed,106.6586,111.6537,NORMAL,149.07,0.285
57,14.8678,50.0984,0,suppressed,107.5192,112.6246,NORMAL,149.794,0.29
58,14.9055,50.4806,0,suppressed,108.3915,113.2021,NORMAL,149.971,0.295
59,14.9348,50.1856,0,suppressed,109.249,114.4013,NORMAL,149.905,0.3
60,14.9625,50.1986,0,suppressed,109.5665,114.6561,NORMAL,245.493,0.305
61,14.8867,50.545,0,suppressed,110.3061,115.301,NORMAL,54.544,0.31
62,14.962,50.8851,0,suppressed,110.7275,115.7198,NORMAL,245.482,0.315
63,14.9106,50.7894,0,suppressed,111.3423,116.4064,NORMAL,54.514,0.32
64,14.9213,50.6095,0,suppressed,112.4677,117.3651,NORMAL,245.478,0.325
65,14.8812,50.634,0,suppressed,113.2132,118.217,NORMAL,54.526,0.33
66,14.949,50.9296,0,suppressed,113.4523,118.4678,NORMAL,245.475,0.335
67,14.9818,51.1567,0,suppressed,114.3042,119.0998,NORMAL,54.539,0.34
68,14.9692,50.6646,0,suppressed,114.714,119.7488,NORMAL,245.502,0.345
69,14.912,50.4183,0,suppressed,115.02,119.8848,NORMAL,54.494,0.35
70,14.9891,50.9553,0,suppressed,115.8171,120.9254,NORMAL,245.494,0.355
71,14.9701,51.0014,0,suppressed,116.6447,121.7785,NORMAL,54.51,0.36
72,14.8977,50.7756,0,suppressed,116.7729,121.924,NORMAL,245.461,0.365
73,14.9535,50.569,0,suppressed,117.6833,122.6511,NORMAL,54.554,0.37
74,14.827,51.0794,0,suppressed,117.1363,122.1026,NORMAL,245.472,0.375
75,14.9708,51.0502,0,suppressed,118.4848,123.2872,NORMAL,54.51,0.38
76,14.9046,51.0135,0,suppressed,118.7784,123.8464,NORMAL,245.471,0.385
77,14.7866,51.0028,0,suppressed,119.1488,123.9979,NORMAL,54.541,0.39
78,15.0427,50.7366,0,suppressed,119.7031,124.5582,NORMAL,245.505,0.395
79,14.8398,50.671,0,suppressed,119.6298,124.5994,NORMAL,54.525,0.4
80,14.9569,51.1029,0,suppressed,120.5086,125.398,NORMAL,149.277,0.405
