elapsed_time_s,vib_x_raw_g,vib_y_raw_g,vib_z_raw_g,vib_x_corr_g,vib_y_corr_g,vib_z_corr_g,vib_x_rms_g,vib_y_rms_g,vib_z_rms_g,rpm,omega_z_dps
0.000000,-0.241555,0.403741,0.204098,-0.241555,0.371441,0.189811,0.241555,0.371441,0.189811,149.804807,900.000000
0.010000,0.065054,-0.308380,0.813639,0.065054,-0.283710,0.756684,0.176891,0.330500,0.551634,149.707928,900.785334
0.020000,-0.717061,-0.022256,0.113503,-0.717065,-0.020475,0.105558,0.438468,0.270111,0.454511,150.580205,901.569894
0.030000,-0.164848,-0.380315,-0.390795,-0.164849,-0.349889,-0.363440,0.388567,0.292105,0.433541,150.457462,902.352903
0.040000,-0.523564,-0.113907,0.317420,-0.523570,-0.104795,0.295201,0.419062,0.265437,0.409628,150.484358,903.133591
0.050000,0.513951,-0.145551,0.289502,0.513958,-0.133907,0.269237,0.436314,0.248400,0.389757,151.042515,903.911185
0.060000,-0.696124,-0.112687,-0.605035,-0.696136,-0.103672,-0.562683,0.482082,0.233288,0.418855,151.025132,904.684919
0.070000,0.221946,0.135995,0.227063,0.221950,0.125115,0.211169,0.457723,0.222659,0.398852,151.090100,905.454028
0.080000,-0.018145,-0.489655,0.504407,-0.018145,-0.450483,0.469099,0.431588,0.258102,0.407256,151.518393,906.217754
0.090000,0.392203,0.357288,-0.586159,0.392213,0.328705,-0.545128,0.427814,0.266007,0.423070,151.304375,906.975343
0.100000,0.096845,-0.224357,-0.046351,0.096848,-0.206408,-0.043106,0.408948,0.261152,0.403591,150.979214,907.726047
0.110000,-0.218458,0.258193,0.561576,-0.218465,0.237538,0.522265,0.396584,0.259266,0.414779,151.230380,908.469125
0.120000,0.340845,-0.158388,-0.242702,0.340857,-0.145717,-0.225712,0.392579,0.252352,0.403394,151.273488,909.203844
0.130000,-0.443866,0.243920,-0.548651,-0.443883,0.224406,-0.510245,0.396464,0.250459,0.411947,151.759774,909.929478
0.140000,0.037208,0.282430,0.746765,0.037210,0.259836,0.694492,0.383141,0.251095,0.436510,151.235226,910.645311
0.150000,-0.528160,-0.102798,0.095528,-0.528182,-0.094574,0.088841,0.393774,0.244269,0.423232,150.975560,911.350637
